filename,title,genre
skaz_o_petre_i_fevronii,skaz o petre i fevronii,animation
sobibor,sobibor,"drama, history, war, thriller"
sokrovishcha_partizanskogo,sokrovishcha partizanskogo lesa,"adventure, family, war"
soldier_boy,soldier boy,"drama, war"
spacewalk,spacewalk,"adventure, drama, history, thriller"
spies_must_die_the_fox,spies must die: the fox hole,"action, war"
spirit_of_itchi,spirit of itchi,horror
sputnik,sputnik,"drama, horror, sci-fi, mystery"
stalingrad,stalingrad,"action, war, drama"
stanislavsky_lust_for,stanislavsky. lust for life,documentary
steel_butterfly,steel butterfly,"crime, drama, mystery"
stiker,stiker,"drama, mystery, romance"
stray,stray,"drama, horror, thriller"
superdeep,superdeep,"horror, sci-fi, thriller"
terra_nova,terra nova,"action, drama, sci-fi, thriller"
the_actress,the actress,romance
the_balkan_line,the balkan line,"action, war"
the_barber_of_siberia,the barber of siberia,"comedy, drama, romance, history"
the_book_of_masters,the book of masters,"family, adventure, fantasy"
the_boy_s_word_blood_on,the boys word: blood on the asphalt step outside s01e01,"crime, drama, history"
the_bride,the bride,"drama, horror, thriller, mystery"
the_captain_s_daughter,the captains daughter,"animation, short"
the_concert,the concert,"comedy, drama, music"
the_crimean_bridge_made,the crimean bridge. made with love!,romance
the_darkest_hour,the darkest hour,"action, adventure, horror, drama, sci-fi, thriller"
the_decembrists,the decembrists,"documentary, drama, history"
the_dream_of_a_ridiculous,the dream of a ridiculous man,"animation, short, drama, fantasy"
the_duelist,the duelist,"action, drama, thriller"
the_edge,the edge,"adventure, drama, history, romance"
the_factory,the factory,"crime, drama, thriller"
the_first_after_god,the first after god,"action, drama, war"
the_fool,the fool,"drama, crime, thriller"
the_geographer_drank_his,the geographer drank his globe away,"adventure, drama"
the_gray_wolves,the gray wolves,"action, biography, history"
the_habit_to_leave,the habit to leave,"comedy, drama, romance"
the_heat,the heat,"comedy, romance"
the_inhabited_island_2,the inhabited island 2: rebellion,"action, adventure, sci-fi"
the_irony_of_fate_the,the irony of fate. the sequel,"comedy, romance"
the_last_frontier,the last frontier,"action, drama, war"
the_last_train,the last train,"drama, war"
the_last_warrior,the last warrior,"action, adventure, family, comedy, fantasy"
the_last_warrior_root,the last warrior: root of evil,"adventure, comedy, family"
the_legend_of_taras_bulba,the legend of taras bulba,"action, drama, history, war"
the_master_and_margarita,the master and margarita,"drama, fantasy, romance"
the_ninth,the ninth,"adventure, crime, horror"
edinochka,the one,"drama, war"
the_pilot_a_battle_for,the pilot: a battle for survival,"biography, drama, history"
the_rainbowmaker,the rainbowmaker,romance
the_return,the return,"drama, mystery, thriller"
the_role,the role,"drama, history"
the_stroll,the stroll,"drama, romance"
the_time_guardians,the time guardians,sci-fi
turetskii_gambit,the turkish gambit,"war, action, adventure, mystery, thriller"
the_ugly_swans,the ugly swans,"drama, mystery, sci-fi"
the_ural_derby,the ural derby,documentary
the_way,the way,"action, adventure"
the_widow,the widow,"horror, mystery, thriller"
three_heroes_on_distant,three heroes on distant shores,animation
three_seconds,three seconds,"drama, biography, sport"
tiski,tiski vice,"action, drama, crime, thriller"
titanik,titanik,documentary
tri_bogatyrya_khod_konem,tri bogatyrya: khod konem,"animation, adventure, comedy"
tsar,tsar,"drama, history"
tsurtsula,tsurtsula,"documentary, mystery"
two_days,two days,"comedy, drama, romance"
ubitye_molniey,ubitye molniey,"sci-fi, drama"
upon_the_magic_roads,upon the magic roads,"adventure, fantasy"
uzhin_w_chetyre_ruki,uzhin w chetyre ruki,"history, musical"
v_nebo_za_mechtoy,v nebo za mechtoy,family
v2_escape_from_hell,v2. escape from hell,"action, biography, drama"
vanechka,vanechka,"drama, romance"
vedma,vedma (2006),horror
viking,viking,"action, drama, history, war"
viktor,viktor,"action, drama, thriller"
volshebnyy_portret,volshebnyy portret,"family, fantasy"
vovochka,vovochka,"comedy, family"
vragi,vragi,"drama, war"
vremennaya_svyaz,vremennaya svyaz,"short, sci-fi"
vverkh_tormashkami,vverkh tormashkami,"comedy, sci-fi"
war,war,"action, drama, war"
we_are_from_the_future,we are from the future,"action, drama, fantasy, war"
we_are_from_the_future_2,we are from the future 2,"action, adventure, sci-fi, war"
what_men_talk_about,what men talk about,comedy
white_snow,white snow,"biography, drama, sport"
wolfhound_of_the_grey,wolfhound of the grey dog clan,"action, adventure, fantasy"
ya_idu_igrat,ya idu igrat,"mystery, thriller"
yaga_i_kniga_zaklinaniy,yaga i kniga zaklinaniy,"animation, adventure, family"
yolki_9,yolki 9,"comedy, drama, family"
yulenka,yulenka,"drama, horror, thriller"
zateryannye,zateryannye,"mystery, thriller"
zavist_bogov,zavist bogov,"drama, romance"
zemun,zemun,"drama, sci-fi, thriller"
zerkala,zerkala,Unknown
to_live,zhit,"action, drama, crime"
zhivoy,zhivoy,"drama, fantasy, mystery, war"
zolushka,zolushka,"comedy, musical, romance"
zoya,zoya,"drama, war"
